"location","State.x","County","X..Smokers","X..Adults.with.Obesity","X..Physically.Inactive","X..With.Access.to.Exercise.Opportunities","X..Excessive.Drinking","X..Uninsured","Primary.Care.Physicians.Ratio","Mental.Health.Provider.Ratio","X..Vaccinated","X..Unemployed","X..Children.in.Poverty","Average.Daily.PM2.5","X","State.y","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Other.Primary.Care.Provider.Ratio","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg"
"Montana Phillips","Montana","Phillips",18,35,30,65,21,14,"4119:1","1019:1",39,4.5,22,4.8,423,"Montana",78.9,50,299,NA,NA,12,13,11,0,13,11,28,16,"815:01:00",44730,39,45,4074,23.8,22.3,4.891916553,5.757336884,3.8041665,5352,26181.53739
"Montana Powder River","Montana","Powder River",15,27,27,18,20,15,"1752:0","",43,2.9,16,5.5,424,"Montana",84.3,NA,NA,NA,NA,11,12,9,0,10,18,24,15,"1716:01:00",47378,NA,28,1716,16.7,27.2,6.62356811,6.215712806,5,6930,45901.327
"Montana Powell","Montana","Powell",18,32,26,83,23,11,"1699:1","1161:1",27,4.1,21,6.9,425,"Montana",78.1,107,374,NA,NA,11,12,12,115,13,7,27,12,"1394:01:00",48966,27,34,6968,14.6,20.6,3.506832872,5.781696327,1.9,1083,3797.9
"Montana Ravalli","Montana","Ravalli",15,27,24,72,19,13,"1637:1","480:1",37,4.2,23,8.7,426,"Montana",79.7,548,294,55,NA,12,12,7,41,12,2,27,15,"1542:01:00",50055,28,46,43172,19.1,25.8,8.789170922,14.52292571,5.15,8192,72000.88819
"Montana Richland","Montana","Richland",14,31,28,61,23,11,"2208:1","839:1",50,3.1,10,6.2,427,"Montana",78.2,144,378,NA,NA,9,10,8,NA,10,9,30,12,"1364:01:00",67242,35,150,10913,25.3,15,6.320021637,4.858717993,5.41875,7108,44922.71379
"Montana Roosevelt","Montana","Roosevelt",31,35,29,49,22,20,"2775:1","527:1",28,4.6,29,6.3,428,"Montana",68.3,250,794,147,13,17,16,17,NA,17,31,32,25,"737:01:00",40179,28,68,11059,33.5,11.4,4.011912226,4.706983617,2.9,957,3839.4
"Montana Rosebud","Montana","Rosebud",21,32,25,55,21,14,"1850:1","412:1",27,5.3,22,6.1,429,"Montana",73.3,165,555,120,NA,13,13,13,NA,13,10,30,16,"755:01:00",57674,30,18,9063,29,15.8,5.281201883,5.853823723,3.8,8021,42360.52031
"Montana Sanders","Montana","Sanders",18,25,29,83,18,16,"1301:1","329:1",22,6.4,25,9.5,430,"Montana",77.5,215,409,NA,NA,14,14,11,NA,15,22,27,17,"2369:01:00",39861,15,12,11844,17.5,31.2,7.682665351,15.30242328,5.183333,3183,24453.92381
"Montana Sheridan","Montana","Sheridan",15,38,33,64,22,11,"1735:1","685:1",50,2.4,13,6.2,431,"Montana",81.3,39,257,NA,NA,10,11,8,NA,10,12,25,12,"1141:01:00",51690,NA,61,3424,20.4,22.6,4.112957746,4.409637981,3.1,1065,4380.3
"Montana Silver Bow","Montana","Silver Bow",17,25,23,63,21,10,"1384:1","185:1",46,4,20,8,432,"Montana",76.6,547,436,NA,NA,12,13,8,72,14,4,28,11,"875:01:00",47302,36,165,34993,20.3,19.1,9.153025035,9.145137523,6.4,7911,72409.58105
"Montana Yellowstone","Montana","Yellowstone",16,27,22,85,23,9,"1019:1","295:1",52,3.3,12,6.3,433,"Montana",78.3,1965,351,52,6,11,12,8,109,10,7,30,11,"562:01:00",59975,24,278,160137,23.5,16.9,6.215232103,4.801347762,5.429167,7006,43543.91611
"Nebraska Douglas","Nebraska","Douglas",16,30,22,98,22,10,"913:1","248:1",61,3.1,13,9.5,434,"Nebraska",79.1,5723,324,59,6,10,11,9,NA,13,3,31,12,"559:01:00",64580,12,310,566880,25.6,13,8.589031618,5.024539998,7.583333,9843,84541.83821
"Nebraska Garden","Nebraska","Garden",14,29,31,56,18,13,"1906:0","",25,2.3,26,5,435,"Nebraska",82.6,20,239,NA,NA,10,11,12,NA,11,33,26,14,"1897:01:00",39192,NA,14,1897,19.6,27.9,3.67917847,2.737287554,3,706,2597.5
"Nebraska Hall","Nebraska","Hall",16,35,28,89,19,13,"1577:1","289:1",55,3.2,18,7.9,436,"Nebraska",78.3,701,350,58,7,10,11,10,NA,10,11,31,17,"880:01:00",53792,15,60,61607,27.5,14.9,6.151654607,3.953179117,5.3,1355,8335.491992
"Nebraska Lancaster","Nebraska","Lancaster",13,29,18,97,25,8,"1483:1","268:1",60,2.5,13,9.1,437,"Nebraska",80.2,2791,283,47,5,10,10,8,NA,13,3,27,10,"799:01:00",58618,14,106,317272,22.9,13.9,7.567036173,4.575119108,6.5,1714,12969.9
"Nebraska Sarpy","Nebraska","Sarpy",13,33,20,92,24,6,"1910:1","992:1",56,2.7,6,9.5,438,"Nebraska",81.3,1329,245,41,4,8,10,9,NA,10,5,31,8,"1808:01:00",79358,10,90,184459,27.4,11.8,9.540101935,5.112447058,8.695652,6741,64309.82715
"Nebraska Scotts Bluff","Nebraska","Scotts Bluff",18,36,26,75,16,11,"1254:1","364:1",47,3.2,19,5,439,"Nebraska",78.3,488,379,53,7,11,12,12,NA,10,2,29,14,"720:01:00",50247,10,51,35989,25,19,5.6028,3.930595596,4.8,1000,5602.8
"Nebraska Thomas","Nebraska","Thomas",14,27,28,17,20,13,"725:0","720:0",38,3,23,5.5,440,"Nebraska",NA,NA,NA,NA,NA,10,11,6,NA,13,27,26,14,"720:00:00",48275,NA,14,720,23.9,26,4.130783939,3.161528423,3.3,1046,4320.8
"Nebraska Washington","Nebraska","Washington",14,32,22,49,22,6,"2072:1","2296:1",41,2.8,7,8.8,441,"Nebraska",80.6,195,243,NA,NA,9,10,11,NA,11,0,25,7,"1148:01:00",77838,9,69,20667,24.3,17.8,7.707432432,4.682883221,6.8,1184,9125.6
"Nevada Carson City","Nevada","Carson City",19,28,22,100,20,13,"1303:1","396:1",44,4.7,17,7.2,442,"Nevada",74.7,1086,499,67,6,13,14,11,280,12,5,34,14,"684:01:00",56382,25,224,55414,20.3,20.3,6.108352776,8.980118959,4.4,5305,32404.81148
"Nevada Clark","Nevada","Clark",17,26,24,97,18,13,"1820:1","505:1",34,4.8,20,9.4,443,"Nevada",78.8,26581,358,51,5,12,12,11,430,13,4,39,16,"1381:01:00",57155,19,850,2231647,23.2,14.7,7.049835713,4.734068442,6.120833,46887,330545.6471
"Nevada Douglas","Nevada","Douglas",14,25,20,91,18,12,"1725:1","850:1",46,4.3,12,7.5,444,"Nevada",81.4,628,277,42,8,11,12,9,102,11,13,30,13,"1102:01:00",70495,22,239,48467,16.3,28.5,8.430603633,14.60182511,5.666667,4870,41057.03969
"Nevada Elko","Nevada","Elko",17,29,26,69,23,13,"2771:1","1590:1",36,3.3,10,5.8,445,"Nevada",79.1,547,345,49,6,11,12,10,65,9,9,33,15,"1809:01:00",79134,26,130,52460,27.3,11.3,2.997589286,3.984817421,1.8,1120,3357.3
"Nevada Washoe","Nevada","Washoe",15,23,18,92,24,12,"1355:1","314:1",45,3.6,14,8.4,446,"Nevada",78.3,5910,350,50,6,12,13,8,260,11,8,32,14,"1037:01:00",63636,21,1106,465735,21.6,16.4,7.330715921,6.823203232,5.708333,18855,138220.6487
"Nevada White Pine","Nevada","White Pine",18,33,24,59,21,11,"1599:1","296:1",33,3.7,16,4.5,447,"Nevada",79.4,129,373,NA,NA,12,13,8,181,11,14,35,12,"2369:01:00",58942,33,202,9475,19.9,18,2.305102041,2.36213199,1.8,1078,2484.9
"New Hampshire Belknap","New Hampshire","Belknap",14,29,23,87,19,8,"1559:1","183:1",49,2.5,12,6.8,448,"New Hampshire",78,883,350,24,NA,10,12,9,82,9,4,29,9,"1197:01:00",64777,18,75,61022,18.5,22.1,4.925684596,3.942417992,4.083333,1758,8659.353519
"New Hampshire Cheshire","New Hampshire","Cheshire",17,30,19,75,21,7,"1461:1","306:1",44,2.5,13,8.3,449,"New Hampshire",78.8,927,321,44,4,11,12,9,61,10,3,32,9,"1093:01:00",60251,20,75,76493,17.9,19.9,7.467870635,5.872909241,5.9,7554,56412.29478
"New Hampshire Coos","New Hampshire","Coos",17,34,26,74,17,8,"879:1","526:1",31,3.2,21,6.2,450,"New Hampshire",77.1,554,400,NA,NA,11,12,13,85,11,5,36,9,"831:01:00",44259,23,62,31589,16.3,23.7,3.233858268,2.597880014,2.5,1016,3285.6
"New Hampshire Grafton","New Hampshire","Grafton",13,24,19,90,20,8,"508:1","224:1",40,2.1,13,7,451,"New Hampshire",80.8,1015,284,32,4,11,12,7,75,10,5,30,10,"310:01:00",65163,15,54,89786,16.2,20.7,6.151070928,3.926272014,5.4,7517,46237.60016
"New Hampshire Hillsborough","New Hampshire","Hillsborough",14,28,23,92,20,7,"1135:1","327:1",53,2.6,10,7.5,452,"New Hampshire",79.4,4542,313,36,4,10,11,10,146,9,6,33,9,"727:01:00",78714,18,375,415247,20.4,15.7,4.492025353,3.193412755,3.8,8458,37993.55044
"New Hampshire Merrimack","New Hampshire","Merrimack",14,28,20,93,19,7,"904:1","244:1",53,2.2,9,7.7,453,"New Hampshire",79.6,1768,311,37,5,9,11,9,107,9,5,31,9,"643:01:00",74351,19,117,151132,19.2,18.2,7.956431054,4.755397691,6.7,863,6866.4
"New Hampshire Rockingham","New Hampshire","Rockingham",12,27,19,88,20,6,"1321:1","431:1",53,2.8,7,7.9,454,"New Hampshire",80.6,3226,269,24,4,9,11,9,72,7,6,29,7,"868:01:00",93645,15,140,309176,19.4,18,6.401407697,4.027738538,5.5,14998,96008.31264
"New Jersey Atlantic","New Jersey","Atlantic",16,30,30,91,17,10,"1189:1","632:1",48,5.9,19,9.4,455,"New Jersey",77.2,3951,408,52,7,13,13,12,539,13,8,38,13,"1341:01:00",60826,13,288,265429,21.2,17.9,7.122592542,4.133331763,6.2,7857,55962.2096
"New Jersey Bergen","New Jersey","Bergen",11,22,25,99,18,9,"850:1","413:1",50,3.4,8,9.9,456,"New Jersey",83.2,6992,205,20,3,9,10,8,220,7,1,38,10,"1912:01:00",100181,8,965,936692,21.2,17.2,10.00747939,5.245243257,8.9,4527,45303.85919
"New Jersey Camden","New Jersey","Camden",16,31,29,90,18,8,"971:1","335:1",52,4.6,18,11.6,457,"New Jersey",77.3,6843,396,54,7,12,13,12,385,12,5,41,9,"1008:01:00",67135,10,623,507078,22.7,15.7,9.6888585,5.370504402,8.6,8966,86870.30531
"New Jersey Cumberland","New Jersey","Cumberland",18,36,31,79,17,12,"2311:1","1063:1",47,6.5,22,9.9,458,"New Jersey",75.4,2372,473,62,6,13,14,12,500,13,10,40,15,"2040:01:00",51790,8,60,150972,23.9,15.3,8.196909202,4.414192039,7.4,4297,35222.11884
"New Jersey Essex","New Jersey","Essex",14,29,28,100,16,12,"1197:1","474:1",43,5.2,21,9.9,459,"New Jersey",79.5,8923,348,47,6,12,12,11,1393,16,1,44,14,"1369:01:00",62875,6,1347,799767,23.6,13.6,8.760463406,4.97248854,7.6979165,6690,58607.50018
"New Jersey Gloucester","New Jersey","Gloucester",16,31,28,83,21,6,"1849:1","865:1",49,4.2,9,10.9,460,"New Jersey",77.8,3658,355,33,5,10,12,10,148,9,9,37,7,"1969:01:00",81315,10,233,291408,21.8,15.8,8.385078534,4.701126395,7.25,1146,9609.3
"New Jersey Hudson","New Jersey","Hudson",15,24,29,100,19,13,"1954:1","1569:1",37,3.9,22,9.9,461,"New Jersey",82.2,5528,274,38,3,12,12,8,868,11,0,41,16,"3503:01:00",73337,6,980,676061,20.4,11.8,9.126569755,5.440191081,8,10976,100173.2296
"New Jersey Hunterdon","New Jersey","Hunterdon",13,20,19,89,22,5,"828:1","414:1",52,3.3,4,10.2,462,"New Jersey",83.4,1009,206,20,NA,9,11,7,163,6,2,34,6,"1433:01:00",112335,12,223,124714,19.3,18.5,8.026549405,4.69497275,7.2,6841,54909.62448
"New Jersey Mercer","New Jersey","Mercer",14,26,24,99,19,10,"991:1","311:1",51,3.7,14,8.8,463,"New Jersey",80.5,3771,302,45,6,10,12,9,442,11,4,37,12,"1193:01:00",79979,7,417,369811,21.3,15.1,7.939609916,4.603848275,6.956439,10570,83921.67682
"New Jersey Middlesex","New Jersey","Middlesex",11,26,26,97,16,8,"1083:1","547:1",50,3.6,11,9.7,464,"New Jersey",81.5,7210,255,30,4,9,11,11,281,8,4,40,10,"1925:01:00",87666,7,843,829685,21.7,15,7.715372983,4.5848641,6.8,6745,52040.19077
"New Jersey Morris","New Jersey","Morris",12,21,21,95,19,6,"974:1","369:1",54,3.3,5,10,465,"New Jersey",82.6,3871,213,20,3,8,10,8,197,6,4,33,7,"1261:01:00",112396,8,403,494228,21.1,17.1,7.518037383,4.60056828,6.5,2140,16088.6
"New Jersey Ocean","New Jersey","Ocean",14,28,29,90,19,8,"2274:1","637:1",50,4.3,16,7.8,466,"New Jersey",79.1,7561,337,29,3,11,13,11,135,9,9,36,10,"2046:01:00",68483,9,266,601651,24,22.5,7.47541225,4.328977503,6.4,3396,25386.5
"New Jersey Passaic","New Jersey","Passaic",14,27,28,97,18,13,"1762:1","818:1",45,5.1,22,9.7,467,"New Jersey",80.7,4797,289,37,4,12,13,9,564,10,2,37,17,"2455:01:00",71959,6,1007,503310,23.8,14.5,8.503745645,5.109201052,7.3,1148,9762.3
"New Jersey Union","New Jersey","Union",13,25,24,100,18,11,"1508:1","535:1",47,4.3,11,10.4,468,"New Jersey",81.5,4912,265,38,4,11,12,8,547,9,1,39,14,"1824:01:00",80737,7,1047,558067,23.4,14.4,9.71523714,5.210858178,8.608333,17851,173426.6982
"New Jersey Warren","New Jersey","Warren",14,30,28,97,19,7,"1695:1","494:1",52,3.8,9,10,469,"New Jersey",79.4,1244,315,41,6,10,12,10,112,9,6,37,8,"2351:01:00",77571,12,187,105779,19.7,18.2,8.313980174,4.939345537,7.2416665,6592,54805.75731
"New Mexico Bernalillo","New Mexico","Bernalillo",15,23,17,91,16,10,"970:1","218:1",42,4.5,22,6.9,470,"New Mexico",78.5,8403,365,55,6,13,14,7,243,15,7,31,12,"744:01:00",51372,22,627,678701,21.7,16.4,6.960566807,4.544275194,5.9,25893,180229.9563
"New Mexico Catron","New Mexico","Catron",14,26,20,74,14,10,"1196:1","1789:1",25,6.4,40,4.3,471,"New Mexico",83.5,62,336,NA,NA,13,14,11,NA,19,45,27,10,"3578:01:00",34777,NA,2,3578,12.2,41.5,2.914548982,2.980848541,2.3,1031,3004.9
"New Mexico Chaves","New Mexico","Chaves",17,34,26,71,16,12,"1474:1","799:1",42,4.9,24,7.4,472,"New Mexico",75.7,1011,480,71,6,15,14,12,89,15,13,34,15,"1268:01:00",43527,19,82,64689,26.3,16,5.480611424,3.759861187,4.7,1243,6812.4
"New Mexico Dona Ana","New Mexico","Dona Ana",16,28,17,78,16,12,"1609:1","339:1",40,5.7,33,7.8,473,"New Mexico",80.2,2187,324,49,5,15,15,9,212,16,19,31,14,"1222:01:00",38409,16,197,217522,24.5,15.8,6.896643502,5.848879663,5.720833,22727,156740.0169
"New Mexico Eddy","New Mexico","Eddy",16,35,28,70,19,9,"3000:1","827:1",40,3.3,18,7.5,474,"New Mexico",75.4,887,487,72,6,12,12,9,52,13,13,32,11,"1113:01:00",58320,32,59,57900,26.5,14.5,4.997925506,4.155231717,3.991667,3611,18047.509
"New Mexico Grant","New Mexico","Grant",14,27,19,78,15,8,"1204:1","191:1",39,4.9,30,6,475,"New Mexico",78.3,441,401,NA,NA,13,13,9,105,15,15,31,9,"829:01:00",38341,38,100,27346,20,27.7,4.6625,2.142729406,4.3,160,746
"New Mexico Lea","New Mexico","Lea",17,33,30,84,18,12,"2865:1","881:1",25,4.1,18,7.6,476,"New Mexico",76.2,891,461,62,8,13,13,11,103,13,4,30,15,"1313:01:00",51656,18,102,69611,29.8,11.4,6.859780649,4.410714584,6.2,6265,42976.52576
"New Mexico Lincoln","New Mexico","Lincoln",16,23,25,85,14,13,"1492:1","192:1",37,4.6,29,5.6,477,"New Mexico",77.1,357,457,NA,NA,12,13,12,155,15,18,27,15,"1504:01:00",45095,33,118,19556,18.4,28.7,3.572456814,3.208609862,2.8,1042,3722.5
"New Mexico Los Alamos","New Mexico","Los Alamos",11,23,13,99,20,3,"669:1","490:1",48,3.4,3,5,478,"New Mexico",83.4,136,206,NA,NA,9,10,6,NA,13,5,27,3,"707:01:00",124947,11,142,19101,22.3,17.9,2.832515895,2.133834775,2.4,1101,3118.6
"New Mexico Rio Arriba","New Mexico","Rio Arriba",18,28,23,76,14,12,"2447:1","203:1",36,5.2,29,5.4,479,"New Mexico",74,739,581,61,NA,16,15,9,173,13,23,32,14,"1114:01:00",41511,24,98,39006,23.4,19.4,2.361697723,2.131156201,1.9,966,2281.4
"New Mexico San Juan","New Mexico","San Juan",22,33,24,56,16,14,"1788:1","448:1",49,5.8,27,6.5,480,"New Mexico",76,1770,471,68,6,16,15,13,103,20,18,33,17,"1180:01:00",46578,30,132,125043,26.4,14.9,3.272527577,3.369341638,2.5935685,4142,13554.80923
"New Mexico Sandoval","New Mexico","Sandoval",16,25,13,85,19,10,"1638:1","298:1",42,5,16,7,481,"New Mexico",79.3,1706,328,49,7,12,13,7,130,14,13,31,12,"1595:01:00",57036,19,144,145179,23.2,17.7,5.036247889,3.543234692,3.5,872,4391.608159
"New Mexico Santa Fe","New Mexico","Santa Fe",14,14,12,79,16,13,"891:1","141:1",42,4.1,18,6.1,482,"New Mexico",81.6,1753,296,30,4,12,12,6,339,12,11,26,15,"950:01:00",60187,24,289,150056,18,24.3,3.321512315,2.593253384,2.8,10857,36061.65921
"New Mexico Socorro","New Mexico","Socorro",19,34,25,53,15,12,"2400:1","598:1",40,5.3,36,5.2,483,"New Mexico",76.2,273,471,71,NA,15,15,17,120,16,22,32,15,"1287:01:00",33989,30,91,16735,22.5,19.3,3.64241206,3.10679631,3,995,3624.2
"New Mexico Taos","New Mexico","Taos",16,19,14,83,17,13,"1131:1","123:1",41,6.5,29,4.8,484,"New Mexico",79.6,495,391,46,NA,15,15,6,158,15,21,31,15,"821:01:00",38405,35,73,32835,17.6,26.5,4.011200793,2.83307782,3.370833,8352,33501.54902
"New Mexico Valencia","New Mexico","Valencia",17,32,22,48,14,11,"3164:1","458:1",39,5.5,24,6.3,485,"New Mexico",77.4,1108,410,51,7,14,14,13,122,13,24,34,13,"1820:01:00",46365,22,84,76456,23.4,17.7,4.28787022,3.439008887,3.4574275,2728,11697.30996
"New York Albany","New York","Albany",15,27,22,92,20,4,"996:1","281:1",52,3.7,15,9.1,486,"New York",80,3307,304,43,6,10,12,9,411,12,5,34,5,"526:01:00",64536,9,2107,307117,18.4,17,7.233050473,4.544103605,6.2479165,11360,82167.45337
"New York Bronx","New York","Bronx",16,29,31,100,16,9,"1768:1","486:1",38,5.7,38,10.3,487,"New York",80.6,15016,346,43,5,15,14,13,2236,16,0,40,11,"874:01:00",38566,5,3706,1432132,24.8,12.8,8.381183746,5.234024162,7.325,21245,178058.2487
"New York Chautauqua","New York","Chautauqua",17,33,28,80,19,5,"1870:1","603:1",51,5,27,9.6,488,"New York",77.3,1904,391,59,7,12,14,12,214,12,7,38,6,"1032:01:00",45689,14,228,127939,20.3,20.1,6.918505647,4.309106215,5.8,1151,7963.2
"New York Erie","New York","Erie",17,30,26,96,22,4,"1251:1","324:1",46,4.4,19,10.7,489,"New York",78.4,11768,351,50,7,11,13,11,290,13,6,36,5,"617:01:00",56375,11,1170,919719,20.2,17.9,8.285090585,4.426951043,7.5,29083,240955.2895
"New York Essex","New York","Essex",14,29,22,100,20,5,"2372:1","643:1",52,4.9,16,6.6,490,"New York",80.8,497,289,NA,NA,10,11,11,223,10,2,34,6,"1381:01:00",54376,11,91,37300,16.3,23.4,4.053472198,3.251977755,3.275,7171,29067.44913
"New York Kings","New York","Kings",14,23,26,100,18,8,"1554:1","456:1",36,4.2,26,10.1,491,"New York",82.6,21917,269,37,4,11,12,10,1210,17,0,41,10,"1383:01:00",60862,5,3627,2582830,22.8,13.9,7.834012203,4.779399641,6.9,17233,135003.5323
"New York Monroe","New York","Monroe",15,29,23,95,20,5,"970:1","364:1",51,4.3,19,8.9,492,"New York",79.9,7898,302,53,7,11,12,9,365,12,6,33,6,"472:01:00",60240,10,1632,742474,20.8,17.2,6.998510938,4.091311767,6.204167,13030,91190.59752
"New York Nassau","New York","Nassau",11,24,23,99,18,5,"716:1","331:1",52,3.5,8,10,493,"New York",82.9,10857,219,27,3,9,10,9,253,5,0,38,6,"685:01:00",115301,7,2597,1358343,21.5,17.8,7.593743496,5.021289733,6.6,7525,57142.91981
"New York New York","New York","New York",12,15,18,100,25,6,"754:1","116:1",46,3.7,20,10.8,494,"New York",84.9,11804,214,35,3,11,12,7,1879,13,0,34,7,"424:01:00",84610,7,4444,1628701,14.3,16.5,9.064877007,5.123872666,8.1,32814,297454.8741
"New York Niagara","New York","Niagara",17,34,29,84,23,5,"2272:1","899:1",47,5.2,19,11,495,"New York",77.7,3073,377,48,7,11,13,13,117,12,4,39,6,"1739:01:00",55013,14,788,210433,20,19.1,9.494712081,5.285264268,8.4,2364,22445.49936
"New York Oneida","New York","Oneida",17,33,26,88,20,6,"1394:1","609:1",50,4.4,20,8.1,496,"New York",78.4,3070,364,53,7,11,13,14,313,12,4,35,7,"691:01:00",54096,10,532,229577,21.2,18.8,6.319917438,4.419170125,5.5541665,7360,46514.59234
"New York Onondaga","New York","Onondaga",16,30,22,95,21,5,"1060:1","395:1",54,4,20,8.2,497,"New York",79.5,5156,317,53,6,10,13,11,290,12,4,34,6,"472:01:00",59786,10,1061,461809,21.2,17,5.782597186,3.617582874,4.93125,5228,30231.41809
"New York Orange","New York","Orange",15,30,26,88,19,6,"1405:1","424:1",50,3.9,18,9,498,"New York",80.2,3697,296,33,5,10,12,10,315,9,5,36,7,"1101:01:00",75048,8,490,381951,25.4,14,6.712548489,4.401931953,5.9,8503,57076.7998
"New York Queens","New York","Queens",12,23,28,98,16,10,"1608:1","615:1",42,3.6,15,8.1,499,"New York",83.8,17867,224,36,4,11,11,11,789,11,0,39,12,"1462:01:00",68432,6,4496,2278906,20.1,15.7,7.5408093,4.589638215,6.6,17919,135123.7619
"New York Richmond","New York","Richmond",15,28,27,100,19,5,"1029:1","436:1",43,4.1,15,9.8,500,"New York",80.9,4900,286,32,5,11,12,11,515,9,0,43,6,"912:01:00",79719,7,1550,476179,21.8,16.2,8.102371647,4.619292791,7.2,14389,116585.0256
"New York Rockland","New York","Rockland",12,23,25,97,17,6,"1126:1","381:1",52,3.7,23,9.7,501,"New York",83.2,2420,226,30,4,11,12,8,260,9,3,35,8,"1653:01:00",88960,7,2018,325695,28.2,15.7,6.494509455,4.343376599,5.7125,7228,46942.31434
"New York Steuben","New York","Steuben",15,34,27,57,20,6,"1660:1","547:1",51,4.9,19,7.9,502,"New York",78.7,1302,349,47,7,11,13,13,110,12,3,35,7,"968:01:00",54862,14,183,95796,21.4,19.7,5.504916028,3.585286121,4.729167,5841,32154.21452
"New York Suffolk","New York","Suffolk",13,25,24,93,19,5,"1361:1","375:1",51,3.9,9,9,503,"New York",80.7,14740,278,35,5,9,11,8,241,6,4,36,7,"1050:01:00",100075,9,777,1481093,21.1,16.9,6.910795985,4.349590149,6.004167,7689,53137.11033
"New York Westchester","New York","Westchester",11,21,21,100,18,7,"728:1","258:1",51,3.9,10,10.4,504,"New York",83.5,7306,215,29,4,10,11,8,441,8,1,33,8,"1203:01:00",94521,7,2805,967612,21.9,17.1,6.815265865,4.521290249,6,7460,50841.88336
"North Carolina Alamance","North Carolina","Alamance",17,32,26,80,16,14,"2165:1","736:1",52,3.7,20,10.5,505,"North Carolina",77.5,2298,402,52,8,13,13,13,NA,14,10,33,18,"1342:01:00",50480,13,182,166436,22.2,16.9,9.357959,4.206536607,8.7,4344,40650.97389
"North Carolina Avery","North Carolina","Avery",17,27,29,100,17,20,"3507:1","237:1",47,3.6,25,8.5,506,"North Carolina",77.8,283,397,NA,NA,13,13,18,NA,12,0,31,24,"1945:01:00",41701,15,35,17505,15,22.2,5.72688172,3.735138389,5.15,1116,6391.2
"North Carolina Buncombe","North Carolina","Buncombe",17,22,17,75,21,14,"696:1","163:1",53,3,17,9,507,"North Carolina",78.6,3416,347,46,6,12,13,8,NA,12,8,29,16,"426:01:00",53960,18,270,259103,18.5,20,7.6261567,4.591309389,7.1,9131,69634.43683
"North Carolina Caswell","North Carolina","Caswell",18,29,19,34,15,13,"5662:1","3783:1",48,4.4,28,10.2,508,"North Carolina",75.9,451,471,75,NA,13,13,6,NA,18,3,34,15,"1135:01:00",45517,7,18,22698,18.8,21.5,9.526053425,4.319132651,8.91875,4540,43248.28255
"North Carolina Catawba","North Carolina","Catawba",16,31,26,71,17,13,"1505:1","474:1",55,3.5,20,10.5,509,"North Carolina",76.6,2433,413,52,6,12,12,11,NA,12,8,33,16,"669:01:00",53738,17,107,158652,22.1,17.9,9.141608241,4.470115826,8.625,10089,92229.68554
"North Carolina Chatham","North Carolina","Chatham",14,24,21,63,16,14,"1051:1","813:1",59,3.3,14,10.3,510,"North Carolina",81.7,794,267,52,10,11,12,11,NA,11,2,31,17,"2612:01:00",73703,13,42,73139,20.2,24.4,7.900696864,3.677059614,7.3,574,4535
"North Carolina Cumberland","North Carolina","Cumberland",18,34,25,77,16,11,"1330:1","305:1",39,5.1,24,10.6,511,"North Carolina",76.3,4420,459,78,9,14,14,12,NA,19,13,38,14,"530:01:00",46779,15,169,332330,24.7,11.9,8.73229084,4.126460064,8.1,7577,66164.5677
"North Carolina Davidson","North Carolina","Davidson",18,32,27,69,16,13,"3940:1","998:1",52,3.7,23,10.8,512,"North Carolina",76.4,2679,432,61,8,13,13,16,NA,13,7,32,16,"1851:01:00",47758,17,94,166614,21.9,18.2,9.824453177,4.384052817,9.4,8558,84077.67029
"North Carolina Duplin","North Carolina","Duplin",21,40,35,29,14,20,"4217:1","1436:1",43,4.3,31,9.9,513,"North Carolina",79.5,788,362,70,8,16,15,21,NA,16,1,35,24,"1401:01:00",42725,9,21,58856,23.7,18.7,8.949374289,4.536599353,8.5,3178,28441.11149
"North Carolina Durham","North Carolina","Durham",15,25,19,90,17,13,"812:1","168:1",58,3.5,19,10.6,514,"North Carolina",80.3,2964,298,56,7,12,12,7,NA,17,7,34,16,"417:01:00",59329,8,395,316739,20.8,13.1,8.69405346,3.940799975,8.2,8355,72638.81666
"North Carolina Edgecombe","North Carolina","Edgecombe",21,38,38,59,12,12,"2930:1","1793:1",53,6.8,37,10.2,515,"North Carolina",73.6,1098,550,84,11,16,15,16,NA,24,8,40,15,"1734:01:00",38818,11,65,52005,22.5,19.7,7.676095983,3.997650024,7,6505,49933.00437
"North Carolina Forsyth","North Carolina","Forsyth",18,33,23,80,16,13,"892:1","350:1",52,3.8,25,9.4,516,"North Carolina",78,4734,366,63,8,12,13,11,NA,16,14,34,16,"407:01:00",50112,11,296,379099,22.9,16,8.757950657,4.005520183,8.1375,17943,157143.9086
"North Carolina Gaston","North Carolina","Gaston",17,29,32,72,16,12,"1643:1","428:1",51,3.9,19,10.9,517,"North Carolina",75.7,3629,463,51,7,13,13,11,NA,15,11,35,15,"977:01:00",52798,17,180,222846,22.5,16.1,9.565421744,4.15281152,9,3946,37745.1542
